-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0 9:0 10:0 11:0 12:1 13:0
-1 1:10000 2:10000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:1 13:0
-1 1:50000 2:50000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:0 13:3
-1 1:60000 2:70000 3:10000 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:3 13:3
-1 1:65000 2:70000 3:0 4:10 5:0 6:0 7:100 8:100 9:120 10:20 11:0 12:3 13:3
-1 1:80000 2:80000 3:0 4:1 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:3 13:3
-1 1:100000 2:100000 3:0 4:10 5:2 6:0 7:100 8:100 9:50 10:20 11:0 12:3 13:3
-1 1:50000 2:50000 3:0 4:10 5:2 6:0 7:100 8:100 9:100 10:20 11:0 12:2 13:2
-1 1:60000 2:65000 3:0 4:10 5:2 6:0 7:100 8:100 9:110 10:20 11:0 12:3 13:2
1 1:20000 2:10000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:5 13:4
1 1:10000 2:20000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:4 13:5
1 1:10000 2:10000 3:0 4:10 5:2 6:0 7:50 8:50 9:70 10:20 11:10 12:4 13:5
-1 1:50000 2:50000 3:0 4:10 5:2 6:0 7:100 8:110 9:120 10:20 11:0 12:2 13:3
-1 1:50000 2:50000 3:0 4:10 5:2 6:0 7:100 8:120 9:130 10:20 11:0 12:1 13:1
-1 1:30000 2:40000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:0.5 13:0.5
1 1:40000 2:50000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:0.1 13:1
1 1:50000 2:60000 3:0 4:10 5:2 6:0 7:100 8:100 9:120 10:20 11:0 12:1 13:1
1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:100 8:100 9:1000.0 10:100 11:0 12:1 13:1
1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:1 13:1
1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:1 13:1
1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:1 13:1
-1 1:0 2:0 3:0 4:20 5:2 6:0 7:99 8:99 9:0.0 10:100 11:0 12:3 13:2
-1 1:0 2:0 3:0 4:20 5:2 6:0 7:99 8:99 9:0.0 10:100 11:0 12:3 13:1
-1 1:1000 2:1000 3:0 4:20 5:2 6:0 7:99 8:99 9:10.0 10:100 11:0 12:1 13:1
-1 1:1000 2:1000 3:0 4:20 5:2 6:0 7:99 8:99 9:10.0 10:100 11:0 12:1 13:2
-1 1:1000 2:1000 3:0 4:20 5:2 6:0 7:99 8:99 9:10.0 10:100 11:0 12:1 13:1
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:2 13:0
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:1 13:0
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:1 13:0
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:2
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:1
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:1
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:0
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:0
-1 1:100000 2:100000 3:0 4:20 5:2 6:0 7:99 8:99 9:1000.0 10:100 11:0 12:0 13:0
