-1 1:29000000 2:0 3:20 4:2 5:2190 6:1095 7:100 8:0
-1 1:35000000 2:0 3:60 4:10 5:1096 6:500 7:200 8:0
-1 1:80000000 2:0 3:20 4:2 5:1825 6:700 7:300 8:0
-1 1:412000000 2:0 3:20 4:2 5:2555 6:1900 7:500 8:0
-1 1:412000000 2:0 3:10 4:2 5:1095 6:10000 7:400 8:0
-1 1:98000000 2:0 3:20 4:2 5:1825 6:10000 7:350 8:0
-1 1:1000000 2:0 3:0 4:1 5:180 6:500 7:50 8:0
-1 1:700000 2:0 3:3 4:1 5:190 6:500 7:50 8:0
-1 1:700000 2:0 3:6 4:1 5:180 6:500 7:50 8:0
1 1:750000 2:0 3:6 4:1 5:175 6:500 7:50 8:0
1 1:800000 2:0 3:6 4:1 5:180 6:500 7:50 8:0
1 1:725000 2:0 3:5 4:1 5:190 6:600 7:50 8:0
1 1:2000000 2:0 3:10 4:2 5:260 6:300 7:50 8:0
1 1:1700000 2:0 3:10 4:2 5:270 6:320 7:50 8:0
-1 1:1500000 2:0 3:11 4:1 5:280 6:305 7:50 8:0
-1 1:1600000 2:0 3:12 4:0 5:275 6:310 7:30 8:0
-1 1:1600000 2:0 3:12 4:0 5:275 6:295 7:40 8:0
1 1:1650000 2:0 3:8 4:2 5:270 6:315 7:60 8:0
1 1:1750000 2:0 3:7 4:2 5:270 6:325 7:100 8:0
-1 1:1750000 2:0 3:7 4:2 5:270 6:325 7:1000 8:0
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:10 8:0
-1 1:100000 2:0 3:0 4:0 5:0 6:0 7:10 8:0
-1 1:0 2:0 3:10 4:0 5:0 6:0 7:10 8:0
-1 1:100000 2:0 3:10 4:10 5:0 6:0 7:10 8:0
-1 1:200000 2:0 3:0 4:0 5:0 6:0 7:10 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:120 7:100 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:120 7:200 8:0
-1 1:50 2:0 3:10 4:2 5:100 6:120 7:30 8:0
-1 1:150000 2:0 3:20 4:1 5:100 6:120 7:30 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:80 7:30 8:0
-1 1:10000 2:0 3:12 4:2 5:150 6:180 7:12 8:0
-1 1:210000 2:0 3:2 4:12 5:150 6:180 7:12 8:0
-1 1:210000 2:0 3:12 4:2 5:150 6:100 7:12 8:0
-1 1:210000 2:0 3:2 4:2 5:150 6:180 7:12 8:0
-1 1:210000 2:0 3:12 4:0 5:150 6:180 7:12 8:0
-1 1:80000 2:0 3:10 4:2 5:100 6:120 7:30 8:0
-1 1:200000 2:0 3:10 4:2 5:200 6:200 7:30 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:100 7:30 8:0
-1 1:1010 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:10010 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:20000 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:50001 2:0 3:24 4:4 5:200 6:300 7:12 8:0
-1 1:0 2:0 3:10 4:0 5:0 6:0 7:10 8:0
-1 1:100000 2:0 3:10 4:10 5:0 6:0 7:10 8:0
-1 1:200000 2:0 3:0 4:0 5:0 6:0 7:10 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:120 7:100 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:120 7:200 8:0
-1 1:50 2:0 3:10 4:2 5:100 6:120 7:30 8:0
-1 1:150000 2:0 3:20 4:1 5:100 6:120 7:30 8:0
-1 1:150000 2:0 3:10 4:2 5:100 6:80 7:30 8:0
-1 1:1000 2:0 3:12 4:2 5:150 6:180 7:12 8:0
-1 1:210000 2:0 3:2 4:12 5:150 6:180 7:12 8:0
